An,Bn
2.58727272727273,27.35
2.58727272727273,28.3
2.58727272727273,29
2.72868217054264,23.7
2.72868217054264,25.25
2.72868217054264,25.65
2.72868217054264,26.2
2.72868217054264,26.35
2.72868217054264,27.25
2.72868217054264,27.45
2.72868217054264,28.7
2.72868217054264,28.9
2.72868217054264,29.15
2.72868217054264,29.25
2.72868217054264,30.1
2.72868217054264,30.35
2.72868217054264,31.6
2.72868217054264,33.5
2.72868217054264,33.65
2.72868217054264,34.95
2.72868217054264,36.15
2.72868217054264,37.4
2.77272727272727,21.9
2.77272727272727,22.75
2.77272727272727,22.9
2.77272727272727,23.2
2.77272727272727,23.3
2.77272727272727,23.4
2.77272727272727,23.4
2.77272727272727,23.5
2.77272727272727,23.6
2.77272727272727,23.75
2.77272727272727,24.45
2.77272727272727,24.5
2.77272727272727,24.6
2.77272727272727,25.2
2.77272727272727,25.35
2.77272727272727,25.7
2.77272727272727,25.85
2.77272727272727,26.9
2.77272727272727,27
2.77272727272727,28.35
2.79141104294479,32.45
2.79141104294479,34.4
2.79141104294479,35.2
2.79141104294479,35.7
2.79141104294479,36.25
2.79141104294479,36.5
2.79141104294479,37.1
2.79141104294479,37.2
2.79141104294479,38.15
2.79141104294479,38.45
2.79141104294479,39.35
2.79141104294479,39.75
2.79141104294479,40.15
2.79141104294479,40.6
2.79141104294479,42.1
2.79141104294479,42.25
2.79141104294479,43.8
2.79141104294479,45.8
2.79141104294479,48.05
2.79141104294479,51
2.8047311827957,40.8
2.8047311827957,44.85
2.8047311827957,48.25
2.8047311827957,50.65
2.8047311827957,51.65
2.8047311827957,52.45
2.8047311827957,52.6
2.8047311827957,53.4
2.8047311827957,55
2.8047311827957,55.6
2.8047311827957,55.8
2.8047311827957,58
2.8047311827957,58.55
2.8047311827957,59.45
2.8047311827957,59.95
2.8047311827957,60.05
2.8047311827957,67.25
2.8047311827957,68.1
2.8047311827957,69.6
2.8125,40.95
2.8125,44.1
2.8125,44.1
2.8125,46.05
2.8125,47.3
2.8125,47.95
2.8125,49.2
2.8125,49.5
2.8125,49.8
2.8125,49.9
2.8125,50.1
2.8125,50.4
2.8125,52.05
2.8125,52.4
2.8125,52.9
2.8125,53.5
2.8125,54.65
2.8125,54.7
2.8125,54.85
2.8125,55.9
2.84141726866185,39.8
2.84141726866185,41.1
2.84141726866185,41.65
2.84141726866185,42.85
2.84141726866185,43.5
2.84141726866185,43.55
2.84141726866185,43.6
2.84141726866185,43.65
2.84141726866185,44.25
2.84141726866185,44.6
2.84141726866185,45.75
2.84141726866185,46.1
2.84141726866185,47.4
2.84141726866185,47.75
2.84141726866185,48.75
2.84141726866185,48.95
2.84141726866185,51.35
2.84141726866185,52.75
2.84141726866185,55.35
2.84565916398714,15.55
2.84565916398714,15.8
2.84565916398714,16.1
2.84565916398714,17
2.84565916398714,17.15
2.84565916398714,18
2.84565916398714,18.4
2.84565916398714,18.5
2.84565916398714,18.6
2.84565916398714,18.85
2.84565916398714,19.5
2.84565916398714,19.75
2.84565916398714,22.25
2.84565916398714,23.45
2.84565916398714,23.65
2.84565916398714,24.8
2.84565916398714,24.95
2.84565916398714,25
2.84565916398714,25.55
2.84565916398714,26.65
2.85337837837838,48.6
2.85337837837838,56.3
2.85337837837838,57.9
2.85337837837838,58.1
2.85337837837838,58.4
2.85337837837838,59.1
2.85337837837838,60.65
2.85337837837838,61.3
2.85337837837838,61.8
2.85337837837838,61.9
2.85337837837838,63.55
2.85337837837838,64.9
2.85337837837838,65.35
2.85337837837838,66.2
2.85337837837838,67.95
2.85337837837838,68.45
2.85337837837838,69.2
2.85337837837838,70.65
2.85337837837838,70.9
2.85337837837838,73.1
2.86363636363636,20.2
2.86363636363636,21.55
2.86363636363636,22.15
2.86363636363636,22.25
2.86363636363636,24.55
2.86363636363636,25.1
2.86363636363636,25.2
2.86363636363636,25.95
2.86363636363636,26
2.86363636363636,26.3
2.86363636363636,26.3
2.86363636363636,26.45
2.86363636363636,26.9
2.86363636363636,26.9
2.86363636363636,28.6
2.86363636363636,29.25
2.86363636363636,29.25
2.86363636363636,29.35
2.86363636363636,30.1
2.86363636363636,31.3
3.0004,29.85
3.0004,30.7
3.0004,30.8
3.0004,32.05
3.0004,32.15
3.0004,32.55
3.0004,32.95
3.0004,33.4
3.0004,33.45
3.0004,34.45
3.0004,35.35
3.0004,35.75
3.0004,36.9
3.0004,38
3.0004,38.1
3.0004,38.45
3.0004,38.8
3.0004,39.6
3.0004,39.7
3.0004,41.2
3.00925925925926,37.15
3.00925925925926,38
3.00925925925926,38.45
3.00925925925926,38.65
3.00925925925926,39
3.00925925925926,39.5
3.00925925925926,39.5
3.00925925925926,39.75
3.00925925925926,39.85
3.00925925925926,39.9
3.00925925925926,40.15
3.00925925925926,40.4
3.00925925925926,40.7
